Country,ISO,SBP,DBP
Nauru,NRU,129.33740476951218,77.73511455195121
Nepal,NPL,122.1322416707316,78.03423867426831
Netherlands,NLD,128.03468362317074,78.16233553463412
New Zealand,NZL,125.5541934841464,76.20511304402437
Nicaragua,NIC,125.13557723292683,76.00560206658537
Niger,NER,133.03198186829263,79.97675624865853
Nigeria,NGA,126.2764019012196,77.75547129292677
Niue,NIU,126.2694300780488,75.77095473829269
North Korea,PRK,124.94184661097559,79.80552123609758
Norway,NOR,131.16469138170734,77.44257790804875
Occupied Palestinian Territory,PSE,126.22434941341464,78.68804481768294
Oman,OMN,128.44639868292683,79.0906422902439
Pakistan,PAK,124.2800898817073,80.16755531914635
Palau,PLW,131.03263857804873,79.6030348743902
Panama,PAN,124.94763475609761,76.72492300829269
Papua New Guinea,PNG,121.27575162682926,72.16622195121953
Paraguay,PRY,125.51814205975612,77.81300298414635
Peru,PER,120.77912429268291,73.6666289545122
Philippines,PHL,120.8123925012195,76.41059453829267
Poland,POL,131.298291397561,81.52451929573174
Portugal,PRT,128.61581665975615,78.00349292609754
Puerto Rico,PRI,124.48362461707312,78.596100325
Qatar,QAT,128.3287739853658,80.87449336121955
Romania,ROU,129.8622504195122,80.00057671439022
Russian Federation,RUS,130.10928151951222,82.70445621524391
Rwanda,RWA,124.47702512926828,76.89349459975611
Saint Kitts and Nevis,KNA,127.40327488902442,77.44714424621952
Saint Lucia,LCA,126.00733443902442,77.91046808621951
Saint Vincent and the Grenadines,VCT,125.11865377926833,77.47690528926832
Samoa,WSM,124.91796303414634,76.2589498921951
Sao Tome and Principe,STP,132.48207846951223,79.4079200003659
Saudi Arabia,SAU,126.09016085731706,78.08536008585368
Senegal,SEN,129.77084190609756,79.08093228987805
Serbia,SRB,131.6675005939024,81.70757755585366
Seychelles,SYC,129.56801082804878,80.44764190719506
Sierra Leone,SLE,130.58483986829265,80.16664316743902
Singapore,SGP,124.45816982073171,75.7365556792683
Slovakia,SVK,128.8511971036586,80.23194823817076
Slovenia,SVN,132.29072455853662,80.8424390090244
Solomon Islands,SLB,121.30682368536588,71.76272744463412
Somalia,SOM,128.6258508853659,78.12629988975608
South Africa,ZAF,128.6478732048781,81.20266448475611
South Korea,KOR,120.1332540597561,76.07546799170728
Spain,ESP,125.92797297439022,76.99535879902439
Sri Lanka,LKA,123.0222744268293,74.06533801439026
Sudan,SDN,126.57941501463415,76.924411142561
Suriname,SUR,126.15129725731704,78.46057364634146
Swaziland,SWZ,128.2616032207317,80.04689499402438
Sweden,SWE,128.39390100731708,78.09310273987805
Switzerland,CHE,125.4211163853658,76.73270194634149
Syrian Arab Republic,SYR,128.17297762439028,78.02554014719509
Taiwan,TWN,119.39179272804876,75.33398101695124
Tajikistan,TJK,126.9508119439025,78.79411199926828
Tanzania,TZA,126.48034966097562,75.1303125831707
Thailand,THA,120.3598591243902,75.10943323646342
Timor-Leste,TLS,123.65798592317071,77.81941116987807
Togo,TGO,128.0301977365854,78.10759304414636
Tokelau,TKL,122.21338293414631,73.21150086280488
Tonga,TON,126.13081233414628,75.55000280609754
Trinidad and Tobago,TTO,122.62762563902442,76.22682667341462
Tunisia,TUN,126.89429888780488,76.6439350473171
Turkey,TUR,123.80258623902442,77.38645343280488
Turkmenistan,TKM,127.64970288902441,80.27577304207318
Tuvalu,TUV,127.76564979024394,76.98111558804881
Uganda,UGA,124.95186265731714,77.48223780585369
Ukraine,UKR,131.7755976317073,83.54288907780486
United Arab Emirates,ARE,127.02658199756091,79.38124899634148
United Kingdom,GBR,127.70367517926826,74.69044288097561
United States of America,USA,121.33836084878045,74.18571013853658
Uruguay,URY,127.60943327073169,78.53626741280489
Uzbekistan,UZB,125.37767327682927,78.15297998756097
Vanuatu,VUT,128.12387414756094,75.77327999902442
Venezuela,VEN,126.60878376829271,78.75296111085366
Viet Nam,VNM,121.38216507560979,75.14528892341461
Yemen,YEM,126.07185244634148,77.02022050121951
Zambia,ZMB,128.6525732487805,77.5652276507317
Zimbabwe,ZWE,127.71321536097555,79.32519921548779
