Country,ISO,SBP,DBP
Afghanistan,AFG,123.1035273841463,77.65252750719512
Albania,ALB,130.90805594634148,81.76219654207314
Algeria,DZA,127.66388226097558,77.5906814547561
American Samoa,ASM,129.7288248121951,81.33436701768292
Andorra,AND,127.35949119024387,79.44113581268294
Angola,AGO,128.46461799268295,78.6631230059756
Antigua and Barbuda,ATG,124.47822753780487,77.22507214304882
Argentina,ARG,125.56291573780487,78.37754587987807
Armenia,ARM,130.82101196707316,81.18600566219516
Australia,AUS,125.24537874634142,75.91450670865855
Austria,AUT,128.15227753170728,79.55225411756098
Azerbaijan,AZE,127.8607747817073,79.57298075219511
Bahamas,BHS,126.9303776682927,79.35005172719514
Bahrain,BHR,127.08720788292683,79.24862267121954
Bangladesh,BGD,119.79656529634146,77.17654022646342
Barbados,BRB,126.9767592743902,77.70896922365854
Belarus,BLR,132.08108828658536,83.25762835646339
Belgium,BEL,128.07956718658534,78.05718467524392
Belize,BLZ,122.70486932682924,76.91172174414633
Benin,BEN,128.25895473292687,77.95464769999997
Bermuda,BMU,129.15717456951222,80.65940659158537
Bhutan,BTN,123.6255221987805,78.49032621158536
Bolivia,BOL,122.65514958780486,74.55535640524388
Bosnia and Herzegovina,BIH,129.7973618439024,81.02082698012191
Botswana,BWA,130.09649986463415,80.36619315012199
Brazil,BRA,129.54155964268296,79.73721123158538
Brunei Darussalam,BRN,123.82589875853658,77.22421449487807
Bulgaria,BGR,131.4407541329268,81.96470038560976
Burkina Faso,BFA,127.05644057682927,78.15531573012196
Burundi,BDI,125.22196179146333,75.95102148158536
Cabo Verde,CPV,131.97022281829274,78.65091697365852
Cambodia,KHM,119.46619352317077,73.8231283235366
Cameroon,CMR,127.33273712804878,77.9971368352439
Canada,CAN,121.85874974878048,75.74645862353658
Central African Republic,CAF,129.09468131219518,79.35079311670734
Chad,TCD,128.86273877926834,78.24825550914632
Chile,CHL,126.24789560121955,78.78110575585363
China,CHN,121.20296025121957,76.59097952402439
China (Hong Kong SAR),HKG,122.54291917317076,76.74483525914636
Colombia,COL,123.35158436707313,75.87457830768292
Comoros,COM,127.35300886341462,76.80516137487808
Congo,COG,130.2973627390244,80.03248441036585
Cook Islands,COK,128.9128299390244,78.5133776776829
Costa Rica,CRI,123.9651706792683,76.64069010780489
Cote d'Ivoire,CIV,130.7124122548781,78.19365847414637
Croatia,HRV,131.65291817317078,80.77831658829268
Cuba,CUB,123.73432327926828,78.83627006182925
Cyprus,CYP,125.34166784146335,77.74972974536585
Czech Republic,CZE,129.20413133414633,81.50605577829268
DR Congo,COD,127.9259868902439,77.21000737865852
Denmark,DNK,128.03070251951215,79.02546759695122
Djibouti,DJI,130.00081085243897,79.55236484560977
Dominica,DMA,128.81512441463417,79.51067294097561
Dominican Republic,DOM,125.36469233170737,77.95749546219515
Ecuador,ECU,121.61981292317071,74.21107479073169
Egypt,EGY,127.41864129756101,79.00655162914636
El Salvador,SLV,121.86698616951224,74.70763137085363
Equatorial Guinea,GNQ,128.6678184243902,78.90485810951216
Eritrea,ERI,121.71073668414631,76.06633905487806
Estonia,EST,130.92326414512198,82.05115884731708
Ethiopia,ETH,123.60318533170728,76.102939045
Fiji,FJI,126.5238992243902,74.5173447414634
Finland,FIN,129.2452945597561,78.04351190329268
France,FRA,127.4840288231707,79.24884205512195
